,Molecule ChEMBL ID,Canonical_Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1,CHEMBL271410,Cc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,8.029978734171634,378.21680945199995,7,2,3.2110200000000004,True
2,CHEMBL411243,CN(C)CCCCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.070019409484486,428.1324069000001,6,2,4.674700000000003,True
3,CHEMBL270713,CN(C)CCNc1c(Br)cccc1Nc1ncnc2ccncc12,7.339988778710669,386.0854567080001,6,2,3.5044000000000013,True
4,CHEMBL54475,Brc1cccc(Nc2ncnc3ncccc23)c1,6.160000609491408,300.00105838800005,4,1,3.530900000000001,True
5,CHEMBL405772,Cc1cccc(Nc2ncnc3ccncc23)c1N,7.389978975335855,251.11709541599998,5,2,2.659019999999999,True
6,CHEMBL402452,Nc1c(O)cccc1Nc1ncnc2ccncc12,7.15002808767115,253.096359972,6,3,2.0561999999999996,True
7,CHEMBL406236,CN(C)c1cccc(Nc2ncnc3ccncc23)c1N,5.740000204918113,280.143644512,6,2,2.4165999999999994,True
8,CHEMBL124618,Nc1cc2ncnc(Nc3ccccc3N)c2cn1,5.269999835325843,252.11234438399998,6,3,1.9327999999999999,True
9,CHEMBL408351,Nc1cc(C(F)(F)F)ccc1Nc1ncnc2ccncc12,5.320000083770781,305.08882998,5,2,3.3694000000000006,True
10,CHEMBL93032,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,9.759950227887352,330.99563865999994,5,3,3.5471000000000017,True
11,CHEMBL402011,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C,6.7447274948966935,467.20697304000004,8,1,4.021900000000002,True
12,CHEMBL1242665,CC(C)n1nc(-c2ccn3ccnc3c2)c2c(N)ncnc21,4.346787486224656,293.13889348000004,7,1,2.3041,True
13,CHEMBL1242476,CC(C)n1nc(-c2ccc3c(N)n[nH]c3c2)c2c(N)ncnc21,6.684029654543082,308.14979251200003,7,3,2.1148999999999996,True
14,CHEMBL1242572,Nc1ncnc2c1c(-c1ccc3cn[nH]c3c1)nn2C1CCCC1,6.119186407719209,319.15454354400003,6,2,3.0669000000000013,True
15,CHEMBL244948,O=c1ccc2ccc(O)c(O)c2o1,5.115204636051019,178.026608672,4,2,1.2041999999999997,True
16,CHEMBL406845,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,6.318758762624412,301.109423192,5,1,3.483900000000001,True
17,CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,5.585026652029182,270.05282342000004,5,3,2.576800000000001,True
18,CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,7.552841968657781,359.02693878799994,5,1,4.153100000000003,True
19,CHEMBL285063,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.443697499232712,368.027273136,4,2,4.260400000000002,True
20,CHEMBL217536,O=C(Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)C1CCSS1,7.221848749616356,445.9870652,6,2,5.228100000000002,True
21,CHEMBL498249,CO[C@H](C)c1c(O)cc2c(c1O)C(=O)c1c(cc(O)c(O)c1O)C2=O,4.3872161432802645,346.06886740799996,8,5,1.6974000000000014,True
